timestamp,temp_ampent,temp_object,pressure,humidity,gas_res,nh3_raw,co_raw,co2,Tvoc,no2_raw
,26.610,30.230,1007.000,26.711,12705.000,19.000,16.000,400,0,17.000
,26.610,29.990,1007.000,27.701,12900.000,18.000,14.000,1731,369,20.000
,26.590,30.030,1007.000,27.070,13200.000,19.000,23.000,2697,2203,21.000
,26.490,30.050,1007.000,26.579,13134.000,24.000,18.000,660,39,18.000
,26.450,29.970,1007.000,26.492,14010.000,21.000,20.000,400,0,20.000
,26.450,29.990,1007.000,25.939,14831.000,21.000,18.000,416,2,21.000
,26.430,29.790,1007.000,25.600,15429.000,18.000,18.000,808,62,21.000
,26.430,29.910,1007.000,25.491,15969.000,17.000,17.000,488,13,35.000
,26.430,30.290,1007.000,25.324,16547.000,17.000,22.000,424,3,23.000
,26.410,40.530,1007.000,25.171,17058.000,22.000,22.000,416,2,28.000
,26.450,40.210,1007.000,24.980,17660.000,20.000,17.000,821,64,22.000
,26.490,40.290,1007.000,24.882,18070.000,18.000,21.000,3947,4895,27.000
,26.490,40.310,1007.000,25.005,18070.000,16.000,21.000,629,34,23.000
,26.530,40.470,1007.000,24.953,18483.000,17.000,18.000,1090,105,21.000
,26.590,40.190,1007.000,24.758,18747.000,25.000,23.000,400,0,25.000
,26.670,40.170,1007.000,24.496,19513.000,23.000,21.000,434,5,22.000
,26.650,40.090,1007.000,24.284,19957.000,23.000,23.000,488,13,27.000
,26.670,40.130,1007.000,24.237,20324.000,23.000,18.000,543,21,21.000
,26.710,40.130,1007.000,24.200,20786.000,21.000,21.000,488,13,19.000
,26.670,40.070,1007.000,24.136,21142.000,23.000,20.000,537,20,19.000
,26.690,40.110,1007.000,24.112,21665.000,19.000,18.000,455,8,18.000
,26.690,40.130,1007.000,24.183,21914.000,19.000,18.000,533,20,24.000
,26.670,39.950,1007.000,24.318,22333.000,21.000,20.000,473,11,17.000
,26.650,40.010,1007.000,24.380,22548.000,22.000,17.000,461,9,48.000
,26.650,40.090,1007.000,24.379,22818.000,48.000,16.000,434,5,17.000
,26.650,39.890,1007.000,24.441,23221.000,16.000,17.000,424,3,19.000
,26.630,39.730,1007.000,24.496,23481.000,19.000,15.000,400,0,23.000
,26.590,39.830,1007.000,24.581,23973.000,16.000,11.000,400,0,16.000
,26.530,39.750,1007.000,24.684,24447.000,14.000,9.000,1787,435,16.000
,26.510,39.750,1007.000,26.179,23905.000,16.000,16.000,1536,196,17.000
,26.490,40.390,1007.000,25.614,24461.000,14.000,16.000,964,85,16.000
,26.450,39.770,1007.000,25.155,25103.000,15.000,11.000,400,0,17.000
,26.390,39.810,1007.000,24.964,25717.000,16.000,9.000,405,0,17.000
,26.450,46.030,1007.000,24.904,25529.000,22.000,22.000,3577,4085,23.000
,26.930,56.250,1007.000,46.718,13275.000,19.000,19.000,4589,6259,23.000
,27.670,63.810,1007.000,61.726,8121.000,18.000,18.000,4732,6547,19.000
,27.930,63.190,1007.000,71.809,4930.000,21.000,16.000,3725,4398,20.000
,28.330,56.330,1007.000,83.455,4167.000,29.000,26.000,5346,7850,33.000
,28.790,60.190,1007.000,85.382,3565.000,30.000,29.000,3693,4335,25.000
